params.num_epochs,params.num_instances,params.series_length,params.num_channels,metrics.time_elapsed,params.num_of_models
40,2880,500,1,1595.0,4
25,2880,500,1,303.0,4
15,2880,500,1,422.0,4
40,120,30,6,254.0,15
25,120,30,6,253.0,15
15,120,30,6,267.0,15
40,120,30,6,218.0,9
25,120,30,6,165.0,9
15,120,30,6,134.0,9
40,120,30,6,61.0,4
25,120,30,6,71.0,4
15,120,30,6,91.0,4
15,800,152,1,496.0,15
40,800,152,1,487.0,9
25,800,152,1,527.0,9
15,800,152,1,264.0,9
40,800,152,1,133.0,4
25,800,152,1,188.0,4
15,800,152,1,220.0,4
42,128,400,10,1133.0,15
30,128,400,10,1015.0,15
20,128,400,10,806.0,15
66,128,400,10,829.0,8
42,128,400,10,915.0,8
30,128,400,10,496.0,8
20,128,400,10,518.0,8
30,48,577,1,1258.0,22
30,48,577,1,928.0,16
30,48,577,1,397.0,11
30,48,577,1,168.0,7
30,48,577,1,237.0,5
30,800,152,1,1123.0,21
30,800,152,1,716.0,15
30,800,152,1,452.0,10
30,800,152,1,195.0,6
30,800,152,1,176.0,4
30,120,30,6,387.0,21
30,120,30,6,349.0,15
30,120,30,6,191.0,10
30,120,30,6,117.0,6
30,120,30,6,75.0,4
20,120,30,6,345.0,21
20,120,30,6,257.0,15
20,120,30,6,170.0,10
20,120,30,6,138.0,6
20,120,30,6,103.0,4
20,2880,500,1,1165.0,10
20,2880,500,1,566.0,6
20,2880,500,1,554.0,4
20,800,152,1,912.0,21
20,800,152,1,342.0,15
20,800,152,1,378.0,10
20,800,152,1,182.0,6
20,800,152,1,215.0,4
20,128,400,10,1543.0,28
20,128,400,10,773.0,19
20,128,400,10,353.0,12
20,128,400,10,594.0,7
20,128,400,10,366.0,4
